         53412031 function calls (52113818 primitive calls) in 434.365 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17813    0.279    0.000    0.653    0.000 ambiance.py:289(_make_tensor)
     2387    0.022    0.000    0.637    0.000 inspect.py:607(getdoc)
        1    0.000    0.000    0.631    0.631 _subplots.py:1(<module>)
1367/1252    0.028    0.000    0.628    0.001 {built-in method builtins.__build_class__}
    17813    0.450    0.000    0.626    0.000 nozzle.py:34(computeDerivedVariables)
    65600    0.414    0.000    0.615    0.000 units.py:44(get_conv_factor)
    70450    0.408    0.000    0.615    0.000 afm.py:68(_to_str)
    26240    0.354    0.000    0.590    0.000 Isp.py:71(CalcCFvac)
   189929    0.555    0.000    0.555    0.000 {method 'append' of 'list' objects}
    62526    0.366    0.000    0.554    0.000 linalg.py:112(isComplexType)
     6560    0.057    0.000    0.553    0.000 cea.py:13(__enter__)
    13120    0.307    0.000    0.546    0.000 cea_obj.py:91(add_new_card)
    39473    0.253    0.000    0.522    0.000 genericpath.py:16(exists)
     2104    0.018    0.000    0.507    0.000 re.py:289(_compile)
     6666    0.375    0.000    0.499    0.000 {built-in method io.open}
   172624    0.494    0.000    0.494    0.000 {method 'replace' of 'str' objects}
    17813    0.196    0.000    0.474    0.000 rellipsoid.py:238(_2d_geodetic_to_cartesian)
      183    0.005    0.000    0.472    0.003 sre_compile.py:759(compile)
   142524    0.468    0.000    0.468    0.000 {built-in method math.pow}
    13964    0.232    0.000    0.450    0.000 nozzle.py:25(computeDerivatives)
     1747    0.016    0.000    0.423    0.000 artist.py:1356(is_alias)
    17813    0.255    0.000    0.420    0.000 ambiance.py:307(geom2geop_height)
        1    0.000    0.000    0.386    0.386 text.py:1(<module>)
        1    0.000    0.000    0.380    0.380 _axes.py:1(<module>)
        1    0.000    0.000    0.367    0.367 collections.py:1(<module>)
       35    0.097    0.003    0.352    0.010 afm.py:280(_parse_composites)
     6560    0.044    0.000    0.344    0.000 cea_obj.py:109(add_new_fuel)
    17813    0.122    0.000    0.344    0.000 falloffs.py:7(outletPhaseFalloff)
      636    0.023    0.000    0.342    0.001 <frozen importlib._bootstrap>:901(_find_spec)
       12    0.020    0.002    0.338    0.028 artist.py:1337(get_setters)
      425    0.012    0.000    0.336    0.001 artist.py:1290(get_valid_values)
    17823    0.214    0.000    0.335    0.000 normalInjector.py:3(computeNormalInjector)
   105455    0.326    0.000    0.326    0.000 {method 'split' of 'str' objects}
   107756    0.322    0.000    0.322    0.000 {method 'items' of 'dict' objects}
       12    0.000    0.000    0.318    0.027 artist.py:1242(__init__)
       12    0.011    0.001    0.318    0.026 artist.py:1262(get_aliases)
   107212    0.315    0.000    0.317    0.000 {method 'decode' of 'bytes' objects}
   108671    0.317    0.000    0.317    0.000 {method 'strip' of 'str' objects}
    39879    0.316    0.000    0.316    0.000 {method 'format' of 'str' objects}
    97476    0.306    0.000    0.306    0.000 {built-in method math.sqrt}
       97    0.001    0.000    0.304    0.003 re.py:250(compile)
    17813    0.132    0.000    0.298    0.000 falloffs.py:21(injectorTransientFalloff)
    17813    0.129    0.000    0.296    0.000 falloffs.py:15(combustionEfficiencyTransient)
    41979    0.294    0.000    0.294    0.000 {built-in method posix.stat}
     6560    0.047    0.000    0.293    0.000 cea_obj.py:113(add_new_oxidizer)
    33066    0.193    0.000    0.292    0.000 posixpath.py:41(_get_sep)
      183    0.003    0.000    0.290    0.002 sre_parse.py:937(parse)
  431/183    0.010    0.000    0.281    0.002 sre_parse.py:435(_parse_sub)
    17813    0.278    0.000    0.278    0.000 rellipsoid.py:224(_rad_curve_prime_vert)
      632    0.004    0.000    0.276    0.000 <frozen importlib._bootstrap_external>:1341(find_spec)
  501/190    0.073    0.000    0.274    0.001 sre_parse.py:493(_parse)
